N_ID,ID,Cast,Director,Producer
0,10000,"Fausto Cabrera , Frank Ramírez , Delfina Guido",Sergio Cabrera,Sergio Cabrera
1,10001,"Yahoo Serious , Odile Le Clezio , Peewee Wilson",Yahoo Serious,Yahoo Serious
2,10002,"Bob Hoskins , Cathy Tyson , Michael Caine",Neil Jordan,Patrick Cassavetti
3,10003,"Val Kilmer , Elisabeth Shue , Rade Šerbedžija",Phillip Noyce,Mace Neufeld
4,10004,"Steven Weber , Tom Skerritt , Charles Durning",Mick Garris,Kelly Van Horn
5,10005,"Matt Bushell , Denis Arndt , Ben Cross",James Dodson,Roee Sharon
6,10006,"Robert Forster , Robert Loggia , Richard Roundtree",James M. Hausler,Timothy P. Haskins
7,10007,"Glenn Jacobs , Christina Vidal , Luke Pegler",Gregory Dark,Jason Constantine
8,10008,"Donald Sutherland , Sissy Spacek , James D'Arcy",Courtney Solomon,Andrei Boncea
9,10009,"Joaquin Phoenix , Jeremy Suarez , Jason Raize",Aaron Blaise,Chuck Williams
10,10010,"Patrick Dempsey , Mandy Moore , Jeremy Suarez",Ben Gluck,Carolyn Bates
11,10011,"Matt McCoy , Haley Joel , Christien Tinsley",Ryan Schifrin,Theresa Eastman
12,10012,"Christina Ricci , Jesse Eisenberg , Milo Ventimiglia",Wes Craven,Dixie J. Capp
13,10013,"Kathleen Turner , Nicolas Cage , Helen Hunt",Francis Ford Coppola,Paul R. Gurian
14,10014,"Robert Englund , Mark Patton , Kim Myers",Jack Sholder,Robert Shaye
15,10015,"Clint Eastwood , Marsha Mason , Everett McGill",Clint Eastwood,Clint Eastwood
16,10016,"Natasha Henstridge , Ice Cube , Jason Statham",John Carpenter,Sandy King
17,10017,"Charlie Sheen , Nick Cassavetes , Sherilyn Fenn",Mike Marvin,John Kemeny
18,10018,"Jürgen Vogel , Christiane Paul , Christina Papamichou",Wolfgang Becker,Stefan Arndt
19,10019,"Andrew McCarthy , Kim Cattrall , Estelle Getty",Michael Gottlieb,Art Levinson
20,10020,"Paige O'Hara , Robby Benson , Richard White",Gary Trousdale,Don Hahn
21,10021,"Michael J. Fox , Helen Slater , Richard Jordan",Herbert Ross,Herbert Ross
22,10022,"Vin Diesel , Morgan York , Max Thieriot",Adam Shankman,Roger Birnbaum
23,10023,"Dan Aykroyd , Tom Hanks , Christopher Plummer",Tom Mankiewicz,Robert K. Weiss
24,10024,"Cameron Diaz , Alec Baldwin , Abigail Breslin",Nick Cassavetes,Mark Johnson
25,10025,"Lindsay Lohan , Chris Pine , Samaire Armstrong",Donald Petrie,Arnon Milchan
26,10026,"Diora Baird , Carmen Electra , Jason Priestley",Michael Damian,Barry Robison
27,10027,"Jet Li , Morgan Freeman , Bob Hoskins",Louis Leterrier,Luc Besson
28,10028,"Jessica Alba , Mekhi Phifer , Joy Bryant",Bille Woodruff,Marc Platt
29,10029,"Christian Slater , Cameron Diaz , Jon Favreau",Peter Berg,Diane Nabatoff
30,10030,"Dane Cook , Jessica Alba , Dan Fogler",Mark Helfrich,Barry Katz
31,10031,"Brian Blessed , Julie T. Wallace , Lara Clancy",James Shanks,Oliver Ronicle
